epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92372,2.82779,4.22477,1.20018,8e-05,0.00015,4e-05,3e-05,2.36976,4.04499,0.97437,0.00012861,0.00012861,0.00012861
2,4.49712,2.52064,3.152,0.96502,0.02042,0.03268,0.02535,0.00861,2.39201,3.67273,0.94748,0.000268822,0.000268822,0.000268822
3,5.87535,2.44055,2.40654,0.9552,0.08071,0.20475,0.11213,0.03994,2.14879,3.27203,0.93219,0.000406205,0.000406205,0.000406205
4,7.16129,2.29288,2.08498,0.94696,0.11658,0.3533,0.19313,0.08022,2.18472,2.5538,0.95569,0.000540758,0.000540758,0.000540758
5,8.472,2.29493,1.92533,0.94352,0.14142,0.4397,0.23167,0.09557,2.12606,2.25899,0.94168,0.000672482,0.000672482,0.000672482
6,9.79875,2.33223,1.81495,0.94457,0.16277,0.51544,0.24604,0.10191,2.09047,2.17124,0.93228,0.000801376,0.000801376,0.000801376
7,11.0859,2.2282,1.7119,0.93612,0.17688,0.55508,0.27273,0.1206,2.07808,2.10396,0.93271,0.000927441,0.000927441,0.000927441
8,12.34,2.19825,1.58895,0.93139,0.30414,0.41418,0.30626,0.13682,2.04216,1.92632,0.93253,0.00105068,0.00105068,0.00105068
9,13.589,2.24427,1.56609,0.94204,0.34049,0.45667,0.32802,0.14682,2.04011,1.83861,0.93831,0.00117108,0.00117108,0.00117108
10,14.8647,2.26024,1.52287,0.93957,0.40413,0.48497,0.37096,0.16433,2.0622,1.7411,0.95009,0.00128866,0.00128866,0.00128866
11,16.1048,2.14521,1.46162,0.93461,0.42898,0.45835,0.38072,0.17087,1.99721,1.66101,0.93047,0.00128753,0.00128753,0.00128753
12,17.3876,2.22093,1.46773,0.92771,0.41318,0.47723,0.38357,0.17161,2.03411,1.59399,0.93685,0.00127338,0.00127338,0.00127338
13,18.6514,2.19122,1.44229,0.93651,0.39368,0.49748,0.40887,0.18087,2.01592,1.45547,0.93241,0.00125923,0.00125923,0.00125923
14,19.9636,2.2043,1.45194,0.91989,0.32925,0.52064,0.378,0.14066,2.14884,1.49624,0.92652,0.00124509,0.00124509,0.00124509
15,21.2027,2.17859,1.45939,0.91827,0.35734,0.55869,0.43276,0.19067,1.94925,1.35689,0.91602,0.00123094,0.00123094,0.00123094
16,22.468,2.15929,1.46247,0.92406,0.36374,0.54237,0.42193,0.18169,2.04207,1.32529,0.94148,0.00121679,0.00121679,0.00121679
17,23.6833,2.1408,1.39997,0.92598,0.38407,0.5658,0.43529,0.18482,1.97576,1.35856,0.91763,0.00120265,0.00120265,0.00120265
18,24.9455,2.10637,1.37987,0.92609,0.39314,0.57375,0.44528,0.19437,1.9747,1.31257,0.92112,0.0011885,0.0011885,0.0011885
19,26.2959,2.11759,1.35834,0.91278,0.43294,0.59687,0.47796,0.20669,1.9307,1.30121,0.91317,0.00117435,0.00117435,0.00117435
20,27.5876,2.0616,1.37573,0.92649,0.45119,0.56771,0.46687,0.2052,1.95109,1.29966,0.92193,0.00116021,0.00116021,0.00116021
21,28.7954,2.07678,1.36038,0.92448,0.45855,0.54495,0.4691,0.2084,1.94693,1.28003,0.92168,0.00114606,0.00114606,0.00114606
22,30.0561,2.03068,1.31411,0.92501,0.49315,0.59452,0.51988,0.2232,1.95377,1.22193,0.92118,0.00113191,0.00113191,0.00113191
23,31.3189,2.05699,1.30934,0.91539,0.48113,0.58239,0.4991,0.20361,2.0078,1.33494,0.91298,0.00111776,0.00111776,0.00111776
24,32.5818,2.0646,1.3323,0.91893,0.50926,0.58511,0.51424,0.21718,2.00971,1.28899,0.92781,0.00110362,0.00110362,0.00110362
25,33.7866,2.03287,1.33189,0.92291,0.55641,0.61519,0.55624,0.24667,1.88815,1.27318,0.90905,0.00108947,0.00108947,0.00108947
26,35.0587,2.05915,1.33018,0.92065,0.52622,0.62453,0.54348,0.24226,1.88262,1.31852,0.91375,0.00107532,0.00107532,0.00107532
27,36.2759,2.0649,1.32795,0.91533,0.52856,0.62005,0.55376,0.24014,1.94899,1.2493,0.92014,0.00106118,0.00106118,0.00106118
28,37.5078,2.07702,1.29193,0.91631,0.54837,0.64112,0.5683,0.25045,1.91759,1.26246,0.91462,0.00104703,0.00104703,0.00104703
29,38.7514,2.04088,1.27724,0.915,0.56639,0.6311,0.57513,0.25612,1.89154,1.22356,0.91338,0.00103288,0.00103288,0.00103288
30,40.0149,2.03695,1.32234,0.91667,0.58362,0.63202,0.58203,0.25508,1.9053,1.21415,0.91256,0.00101873,0.00101873,0.00101873
31,41.2353,2.03154,1.28905,0.9135,0.58465,0.64623,0.59265,0.25621,1.88188,1.20173,0.90774,0.00100459,0.00100459,0.00100459
32,42.5026,2.05086,1.26663,0.91063,0.58555,0.64253,0.5913,0.26022,1.88963,1.17689,0.90907,0.00099044,0.00099044,0.00099044
33,43.7456,1.99267,1.29952,0.9128,0.57038,0.61425,0.5693,0.23547,1.94215,1.24579,0.90541,0.000976293,0.000976293,0.000976293
34,45.0168,2.00633,1.26105,0.91256,0.57934,0.63799,0.58095,0.25043,1.90291,1.21207,0.90851,0.000962146,0.000962146,0.000962146
35,46.2395,1.96727,1.23614,0.90449,0.5524,0.64024,0.57666,0.24904,1.87981,1.2497,0.90222,0.000947999,0.000947999,0.000947999
36,47.4792,1.97363,1.23449,0.90485,0.57958,0.64523,0.60144,0.26099,1.92141,1.17485,0.9171,0.000933851,0.000933851,0.000933851
37,48.7342,2.06353,1.28301,0.91142,0.55856,0.64334,0.56634,0.23631,1.93712,1.22192,0.91111,0.000919704,0.000919704,0.000919704
38,49.9472,1.9955,1.25363,0.90321,0.56619,0.64984,0.58391,0.25323,1.92463,1.18863,0.917,0.000905557,0.000905557,0.000905557
39,51.1614,1.99501,1.22142,0.91096,0.55755,0.64861,0.59187,0.26071,1.88433,1.20056,0.90855,0.00089141,0.00089141,0.00089141
40,52.3991,1.9573,1.20376,0.90595,0.56948,0.66533,0.59838,0.26474,1.88915,1.1722,0.91142,0.000877263,0.000877263,0.000877263
41,53.6376,2.00532,1.23489,0.90934,0.58431,0.65079,0.60059,0.26549,1.87116,1.17591,0.90609,0.000863116,0.000863116,0.000863116
42,54.9542,1.96505,1.21766,0.90419,0.60712,0.63982,0.59647,0.26051,1.90717,1.15996,0.91251,0.000848969,0.000848969,0.000848969
43,56.2235,1.97955,1.20609,0.90185,0.60397,0.63737,0.59677,0.25888,1.88641,1.1619,0.90953,0.000834822,0.000834822,0.000834822
44,57.4412,1.95479,1.1856,0.90067,0.60089,0.66438,0.60912,0.2693,1.86141,1.1712,0.90328,0.000820675,0.000820675,0.000820675
45,58.6617,1.9235,1.19047,0.89759,0.6048,0.65442,0.60526,0.26986,1.87339,1.1797,0.90477,0.000806528,0.000806528,0.000806528
46,59.9044,1.90264,1.17537,0.90207,0.6179,0.64418,0.60812,0.27373,1.84903,1.16645,0.90209,0.00079238,0.00079238,0.00079238
47,61.1285,1.94443,1.18653,0.90183,0.61971,0.64205,0.6174,0.27421,1.85965,1.15482,0.90487,0.000778233,0.000778233,0.000778233
48,62.3723,1.92168,1.17556,0.89773,0.60447,0.64566,0.59356,0.26015,1.93086,1.15287,0.9196,0.000764086,0.000764086,0.000764086
49,63.5611,1.95795,1.18146,0.89472,0.5921,0.65502,0.61263,0.27308,1.86355,1.15959,0.90726,0.000749939,0.000749939,0.000749939
50,64.8748,1.90272,1.18454,0.91262,0.5985,0.6404,0.60537,0.26691,1.87143,1.15887,0.90795,0.000735792,0.000735792,0.000735792
51,66.0864,1.95578,1.19531,0.89167,0.57667,0.63609,0.58409,0.2439,1.91979,1.22823,0.90513,0.000721645,0.000721645,0.000721645
52,67.3573,1.91819,1.18652,0.90462,0.57157,0.61565,0.58125,0.25752,1.898,1.21664,0.91329,0.000707498,0.000707498,0.000707498
53,68.6042,1.95566,1.17958,0.90053,0.57538,0.63058,0.58846,0.24848,1.90586,1.23549,0.90645,0.000693351,0.000693351,0.000693351
54,69.8052,1.93653,1.1947,0.9056,0.60883,0.64115,0.60606,0.26831,1.86346,1.18687,0.90294,0.000679204,0.000679204,0.000679204
55,70.9843,1.93817,1.19808,0.90792,0.62707,0.62837,0.61107,0.26636,1.89966,1.18001,0.90824,0.000665057,0.000665057,0.000665057
