epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.01116,2.8624,4.2201,1.21326,0.00033,0.00051,0.00016,7e-05,2.31056,4.07328,0.9575,0.00012861,0.00012861,0.00012861
2,5.47095,2.53662,3.25852,0.98884,0.01673,0.02837,0.02091,0.00829,2.59835,3.71277,0.94554,0.000268822,0.000268822,0.000268822
3,6.89705,2.44754,2.43489,0.95931,0.09083,0.21091,0.10739,0.04015,2.11178,3.20792,0.90428,0.000406205,0.000406205,0.000406205
4,8.1817,2.29221,2.07176,0.9504,0.11534,0.30404,0.183,0.07297,2.26436,2.59742,0.94292,0.000540758,0.000540758,0.000540758
5,9.48669,2.30007,1.89912,0.948,0.12749,0.33505,0.196,0.07278,2.22338,2.31871,0.91722,0.000672482,0.000672482,0.000672482
6,10.7849,2.31189,1.82696,0.93868,0.16048,0.40724,0.24429,0.10555,2.11157,2.14602,0.91431,0.000801376,0.000801376,0.000801376
7,12.0384,2.21241,1.7168,0.93922,0.2234,0.45476,0.27735,0.12334,2.08912,2.00472,0.91433,0.000927441,0.000927441,0.000927441
8,13.2931,2.2125,1.64195,0.9398,0.29498,0.38657,0.29672,0.11335,2.23532,1.91326,0.91411,0.00105068,0.00105068,0.00105068
9,14.5579,2.2539,1.5502,0.93606,0.39427,0.40054,0.36459,0.16249,2.03456,1.71865,0.90567,0.00117108,0.00117108,0.00117108
10,15.8371,2.19952,1.54084,0.93335,0.41698,0.45199,0.38878,0.17428,2.06045,1.55418,0.92194,0.00128866,0.00128866,0.00128866
11,17.1119,2.12401,1.44465,0.93545,0.42713,0.48707,0.40501,0.18221,1.96403,1.5638,0.89654,0.00128753,0.00128753,0.00128753
12,18.4255,2.18914,1.47172,0.931,0.39708,0.46014,0.36499,0.13579,2.16947,1.65778,0.90501,0.00127338,0.00127338,0.00127338
13,19.6607,2.13942,1.46891,0.93693,0.41165,0.50651,0.41361,0.18866,1.93363,1.47205,0.89195,0.00125923,0.00125923,0.00125923
14,20.9631,2.15687,1.40399,0.92737,0.40224,0.54317,0.41604,0.18651,1.94037,1.3548,0.89213,0.00124509,0.00124509,0.00124509
15,22.2046,2.14448,1.44448,0.92408,0.36253,0.517,0.39404,0.1672,1.99081,1.35555,0.89112,0.00123094,0.00123094,0.00123094
16,23.4449,2.10928,1.39667,0.92167,0.39936,0.52734,0.42256,0.18448,1.97059,1.38333,0.88946,0.00121679,0.00121679,0.00121679
17,24.6459,2.05998,1.39255,0.91145,0.41291,0.53621,0.44195,0.19974,1.90746,1.3657,0.88493,0.00120265,0.00120265,0.00120265
18,25.9082,2.08315,1.35923,0.92722,0.43093,0.54737,0.44992,0.20403,1.90521,1.35276,0.8861,0.0011885,0.0011885,0.0011885
19,27.2467,2.04521,1.32753,0.91208,0.45165,0.56297,0.46457,0.2127,1.90141,1.33379,0.88464,0.00117435,0.00117435,0.00117435
20,28.5608,1.98974,1.3076,0.92559,0.47587,0.57154,0.48505,0.21827,1.90108,1.28846,0.88917,0.00116021,0.00116021,0.00116021
21,29.8077,2.13466,1.38123,0.92598,0.47807,0.56667,0.47172,0.18747,2.02577,1.35255,0.88899,0.00114606,0.00114606,0.00114606
22,31.0518,2.03588,1.30387,0.91685,0.51019,0.58715,0.50467,0.22542,1.9535,1.27217,0.89476,0.00113191,0.00113191,0.00113191
23,32.3128,2.05038,1.27755,0.91524,0.52572,0.59253,0.52032,0.22911,1.93094,1.28349,0.88492,0.00111776,0.00111776,0.00111776
24,33.568,2.04698,1.2715,0.91693,0.49217,0.55721,0.48342,0.22062,1.94424,1.31009,0.90018,0.00110362,0.00110362,0.00110362
25,34.7891,2.01286,1.29065,0.92257,0.50674,0.58666,0.51346,0.23297,1.88289,1.21699,0.88556,0.00108947,0.00108947,0.00108947
26,36.0773,2.02837,1.28619,0.92084,0.51635,0.58171,0.50795,0.2343,1.86167,1.28966,0.88484,0.00107532,0.00107532,0.00107532
27,37.3232,2.02806,1.26797,0.91476,0.53861,0.59738,0.52726,0.2466,1.84935,1.18929,0.88628,0.00106118,0.00106118,0.00106118
28,38.5974,1.99139,1.25337,0.90722,0.55248,0.59068,0.53604,0.25009,1.84126,1.21021,0.88445,0.00104703,0.00104703,0.00104703
29,39.8377,1.99688,1.24665,0.92074,0.56773,0.59694,0.54238,0.24737,1.86152,1.19423,0.88298,0.00103288,0.00103288,0.00103288
30,41.0618,1.93202,1.23787,0.90506,0.51485,0.59332,0.50766,0.22137,1.92702,1.22533,0.88136,0.00101873,0.00101873,0.00101873
31,42.2728,1.99646,1.25718,0.91781,0.54833,0.59986,0.54012,0.24728,1.88677,1.18475,0.88787,0.00100459,0.00100459,0.00100459
32,43.4931,2.02552,1.20442,0.91462,0.55976,0.60846,0.54518,0.24249,1.91689,1.18518,0.88529,0.00099044,0.00099044,0.00099044
33,44.6728,1.98536,1.25311,0.91445,0.56028,0.61358,0.54647,0.246,1.87355,1.19092,0.88073,0.000976293,0.000976293,0.000976293
34,45.8722,2.03147,1.22952,0.91698,0.55383,0.58948,0.53736,0.23432,1.93317,1.22507,0.88787,0.000962146,0.000962146,0.000962146
35,47.0563,1.99402,1.20263,0.91633,0.52135,0.57043,0.51361,0.19902,2.08586,1.29245,0.89472,0.000947999,0.000947999,0.000947999
36,48.2524,1.98893,1.22849,0.91493,0.55994,0.61892,0.55871,0.25897,1.84602,1.18553,0.88133,0.000933851,0.000933851,0.000933851
37,49.4821,2.05011,1.24317,0.919,0.58345,0.6102,0.5565,0.25235,1.86144,1.20899,0.87952,0.000919704,0.000919704,0.000919704
38,50.7068,1.97258,1.21974,0.90336,0.5563,0.62832,0.56381,0.26184,1.85045,1.14146,0.87955,0.000905557,0.000905557,0.000905557
39,51.9577,1.95503,1.20402,0.90515,0.55606,0.61881,0.56828,0.26625,1.82732,1.15439,0.87628,0.00089141,0.00089141,0.00089141
40,53.2217,1.97836,1.19865,0.90933,0.5418,0.60745,0.54202,0.24746,1.89672,1.20846,0.8954,0.000877263,0.000877263,0.000877263
41,54.4274,1.97869,1.20015,0.92134,0.55696,0.63107,0.56844,0.26711,1.8165,1.13802,0.87882,0.000863116,0.000863116,0.000863116
42,55.6661,1.94065,1.20259,0.91118,0.58163,0.61583,0.55917,0.26142,1.82826,1.15775,0.87836,0.000848969,0.000848969,0.000848969
43,56.8786,1.96714,1.22093,0.90127,0.5785,0.62265,0.56709,0.25209,1.88321,1.18571,0.87712,0.000834822,0.000834822,0.000834822
44,58.0879,1.95546,1.22458,0.90443,0.54686,0.62878,0.56533,0.26767,1.81616,1.19929,0.87471,0.000820675,0.000820675,0.000820675
45,59.3325,1.92375,1.16999,0.89092,0.53377,0.60003,0.56091,0.26086,1.82787,1.19443,0.87502,0.000806528,0.000806528,0.000806528
46,60.547,1.90365,1.19169,0.90963,0.54269,0.60514,0.55471,0.26043,1.82345,1.14724,0.87904,0.00079238,0.00079238,0.00079238
47,61.7432,1.91587,1.17923,0.90543,0.56061,0.63377,0.55622,0.25206,1.86064,1.1836,0.87766,0.000778233,0.000778233,0.000778233
48,62.9677,1.97186,1.18919,0.90292,0.59414,0.61745,0.57133,0.2688,1.83032,1.15197,0.88105,0.000764086,0.000764086,0.000764086
49,64.1853,1.97874,1.18884,0.90332,0.58622,0.64265,0.58022,0.27357,1.83152,1.12653,0.87614,0.000749939,0.000749939,0.000749939
50,65.4317,1.95722,1.22011,0.92809,0.56065,0.6163,0.56508,0.26154,1.85603,1.15547,0.88509,0.000735792,0.000735792,0.000735792
51,66.631,1.9904,1.23168,0.90286,0.53959,0.60563,0.56064,0.23739,1.94096,1.20191,0.87628,0.000721645,0.000721645,0.000721645
52,67.8416,1.97831,1.21149,0.9031,0.55905,0.63323,0.57544,0.27069,1.83548,1.15981,0.87477,0.000707498,0.000707498,0.000707498
53,69.0529,1.97046,1.18322,0.90372,0.5898,0.64734,0.59197,0.27924,1.82418,1.10255,0.88132,0.000693351,0.000693351,0.000693351
54,70.3022,1.95454,1.18517,0.91503,0.58453,0.61199,0.57624,0.23962,1.92676,1.16402,0.87939,0.000679204,0.000679204,0.000679204
55,71.4674,1.92827,1.17789,0.90553,0.58531,0.62361,0.57549,0.23747,1.93643,1.17884,0.87896,0.000665057,0.000665057,0.000665057
56,72.6658,1.95766,1.18704,0.90817,0.59932,0.64817,0.59755,0.28109,1.81051,1.11253,0.87816,0.000650909,0.000650909,0.000650909
57,73.8959,1.91791,1.1477,0.90308,0.58934,0.6432,0.5952,0.27645,1.82842,1.11924,0.87601,0.000636762,0.000636762,0.000636762
58,75.1061,1.9017,1.15806,0.90887,0.58874,0.62413,0.5877,0.27701,1.81477,1.12314,0.87717,0.000622615,0.000622615,0.000622615
59,76.283,1.88297,1.14878,0.90746,0.57933,0.62003,0.5802,0.27327,1.83412,1.13789,0.88076,0.000608468,0.000608468,0.000608468
60,77.5308,1.92122,1.16204,0.91186,0.60695,0.61976,0.58128,0.27261,1.82037,1.15472,0.8787,0.000594321,0.000594321,0.000594321
