epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,908.727,1.69266,1.09679,1.06312,0.67134,0.74222,0.72131,0.35542,1.67225,1.05197,1.04301,0.00103288,0.00103288,0.00103288
44,929.808,1.68111,1.08981,1.05927,0.66739,0.72478,0.71141,0.34953,1.65807,1.05135,1.03992,0.00102345,0.00102345,0.00102345
45,950.282,1.70114,1.10051,1.05744,0.65661,0.71476,0.69684,0.34533,1.65927,1.07733,1.04298,0.00101402,0.00101402,0.00101402
46,970.907,1.68668,1.09677,1.04892,0.68002,0.74209,0.72714,0.36813,1.644,1.0264,1.03877,0.00100459,0.00100459,0.00100459
47,991.921,1.69816,1.09299,1.0437,0.65115,0.74293,0.71964,0.35842,1.64086,1.03759,1.03517,0.000995156,0.000995156,0.000995156
48,1012.54,1.70282,1.10273,1.05435,0.67994,0.73106,0.72685,0.36381,1.64826,1.02698,1.03731,0.000985724,0.000985724,0.000985724
49,1033.1,1.70541,1.09205,1.03886,0.66458,0.72668,0.71998,0.34631,1.69649,1.04915,1.04791,0.000976293,0.000976293,0.000976293
50,1053.59,1.69291,1.05787,1.06052,0.67827,0.72721,0.71625,0.35169,1.65678,1.04258,1.03853,0.000966861,0.000966861,0.000966861
51,1074.38,1.6759,1.07505,1.04373,0.67105,0.7513,0.72586,0.36032,1.65386,1.02729,1.03358,0.00095743,0.00095743,0.00095743
52,1094.84,1.67734,1.07957,1.03619,0.696,0.73669,0.7373,0.37059,1.62649,1.00508,1.0294,0.000947999,0.000947999,0.000947999
53,1115.95,1.69743,1.08451,1.03619,0.67496,0.72738,0.7158,0.35203,1.65979,1.03686,1.03495,0.000938567,0.000938567,0.000938567
54,1136.47,1.65784,1.06486,1.03727,0.6865,0.72709,0.72341,0.35497,1.68029,1.03354,1.04286,0.000929136,0.000929136,0.000929136
55,1157.05,1.68772,1.0709,1.04892,0.67431,0.74533,0.73398,0.36746,1.63839,1.01909,1.03224,0.000919704,0.000919704,0.000919704
56,1177.71,1.67521,1.082,1.04079,0.67663,0.74872,0.73096,0.36707,1.63279,1.02153,1.0303,0.000910273,0.000910273,0.000910273
57,1198.31,1.65666,1.06137,1.04427,0.68646,0.73862,0.73661,0.36784,1.62993,1.01247,1.03069,0.000900842,0.000900842,0.000900842
58,1218.87,1.67292,1.06702,1.04472,0.68398,0.73403,0.7307,0.35633,1.66118,1.02995,1.03502,0.00089141,0.00089141,0.00089141
