epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9403,2.72185,4.18557,1.16094,0.00139,0.00208,0.0007,0.00021,2.58446,4.02944,0.98302,0.00012861,0.00012861,0.00012861
2,4.38868,2.51157,3.26348,0.9691,0.01722,0.02379,0.01863,0.007,2.67453,3.73098,0.98242,0.000268822,0.000268822,0.000268822
3,5.76992,2.43061,2.45516,0.94639,0.08309,0.19638,0.09764,0.03494,2.2838,3.17579,0.93636,0.000406205,0.000406205,0.000406205
4,7.13224,2.34086,2.11326,0.94328,0.11323,0.30593,0.1682,0.06702,2.24047,2.6372,0.9466,0.000540758,0.000540758,0.000540758
5,8.54661,2.31697,1.92768,0.94566,0.1475,0.39535,0.21476,0.0893,2.22527,2.35918,0.94781,0.000672482,0.000672482,0.000672482
6,9.81193,2.25683,1.79934,0.93267,0.16557,0.43812,0.22714,0.09633,2.21607,2.29683,0.94354,0.000801376,0.000801376,0.000801376
7,11.0904,2.24823,1.73785,0.93181,0.17892,0.46441,0.24981,0.11095,2.17441,2.1827,0.94963,0.000927441,0.000927441,0.000927441
8,12.342,2.2253,1.59011,0.92019,0.19455,0.50621,0.28234,0.11621,2.20769,2.18076,0.93784,0.00105068,0.00105068,0.00105068
9,13.6162,2.27573,1.52619,0.93416,0.32942,0.43793,0.33699,0.14906,2.08876,1.95832,0.9371,0.00117108,0.00117108,0.00117108
10,14.8786,2.23161,1.48802,0.92152,0.34654,0.43205,0.3375,0.13222,2.23236,1.89338,0.941,0.00128866,0.00128866,0.00128866
11,16.103,2.1946,1.48961,0.93173,0.39536,0.44147,0.36247,0.15613,2.08795,1.75856,0.93812,0.00128753,0.00128753,0.00128753
12,17.3807,2.21819,1.4884,0.92825,0.39863,0.46045,0.37101,0.15782,2.06856,1.64332,0.92373,0.00127338,0.00127338,0.00127338
13,18.6447,2.11471,1.45041,0.92294,0.37988,0.48584,0.37755,0.16424,2.06511,1.39632,0.93811,0.00125923,0.00125923,0.00125923
14,19.9004,2.0855,1.39132,0.92074,0.36291,0.53162,0.39698,0.16968,2.05212,1.32778,0.92367,0.00124509,0.00124509,0.00124509
