epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61369,2.712,4.23249,1.17529,0.0006,0.00104,0.0003,9e-05,2.479,4.04877,0.98509,0.00012861,0.00012861,0.00012861
2,4.01213,2.52767,3.16229,0.97115,0.02324,0.03834,0.02377,0.00789,2.39669,3.70423,0.95841,0.000268822,0.000268822,0.000268822
3,5.35738,2.4315,2.36772,0.94696,0.08289,0.20981,0.11623,0.04246,2.16289,3.22434,0.9412,0.000406205,0.000406205,0.000406205
4,6.70619,2.31009,2.07588,0.94321,0.1133,0.32379,0.19069,0.07869,2.17606,2.6382,0.95267,0.000540758,0.000540758,0.000540758
5,8.07231,2.3298,1.90456,0.94896,0.13784,0.38061,0.21681,0.09452,2.07944,2.46069,0.94035,0.000672482,0.000672482,0.000672482
6,9.32025,2.29044,1.77515,0.9374,0.15463,0.42829,0.23177,0.10201,2.10074,2.36416,0.9457,0.000801376,0.000801376,0.000801376
7,10.5379,2.25499,1.6691,0.9309,0.17429,0.48242,0.25978,0.11247,2.10914,2.30815,0.94213,0.000927441,0.000927441,0.000927441
8,11.8141,2.19768,1.55465,0.92276,0.21603,0.48486,0.28878,0.1291,2.08464,2.07365,0.94733,0.00105068,0.00105068,0.00105068
9,13.1195,2.21295,1.50138,0.93104,0.33688,0.43233,0.33619,0.14022,2.1255,1.92118,0.93565,0.00117108,0.00117108,0.00117108
10,14.5047,2.20575,1.47797,0.92638,0.35536,0.53767,0.37363,0.16966,2.01508,1.70765,0.93421,0.00128866,0.00128866,0.00128866
11,15.7827,2.17044,1.45461,0.94279,0.38159,0.48652,0.37205,0.15193,2.11074,1.55605,0.93817,0.00128753,0.00128753,0.00128753
12,17.0504,2.22395,1.48342,0.92662,0.3991,0.53323,0.39986,0.17866,1.99002,1.4566,0.92344,0.00127338,0.00127338,0.00127338
13,18.3107,2.12046,1.39934,0.92155,0.38976,0.53101,0.40764,0.18326,1.99572,1.34665,0.94022,0.00125923,0.00125923,0.00125923
14,19.5613,2.12895,1.41095,0.92424,0.36086,0.5431,0.41337,0.1828,1.96667,1.33482,0.92275,0.00124509,0.00124509,0.00124509
15,20.8117,2.14187,1.37226,0.91959,0.37193,0.54527,0.42775,0.19598,1.93239,1.29536,0.92344,0.00123094,0.00123094,0.00123094
16,22.0705,2.09649,1.40081,0.92703,0.33997,0.55389,0.41194,0.17536,1.98607,1.35635,0.91786,0.00121679,0.00121679,0.00121679
